Data,Pais,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","Brazil","(not set)",223,95
"2024-10-01","United States","(not set)",33,18
"2024-10-01","Mexico","(not set)",2,2
"2024-10-01","Cuba","(not set)",1,1
"2024-10-01","Indonesia","(not set)",1,1
"2024-10-01","Philippines","(not set)",1,1
"2024-10-02","Brazil","(not set)",147,85
"2024-10-02","United States","(not set)",25,20
"2024-10-02","Mexico","(not set)",3,2
"2024-10-02","Iran","(not set)",2,2
"2024-10-02","Canada","(not set)",1,1
"2024-10-02","Colombia","(not set)",1,1
"2024-10-02","Germany","(not set)",1,1
"2024-10-03","Brazil","(not set)",202,95
"2024-10-03","United States","(not set)",39,12
"2024-10-03","American Samoa","(not set)",2,1
"2024-10-04","Brazil","(not set)",308,73
"2024-10-04","United States","(not set)",18,16
"2024-10-04","Germany","(not set)",1,1
"2024-10-04","Indonesia","(not set)",1,1
"2024-10-04","Mexico","(not set)",1,1
"2024-10-04","Nigeria","(not set)",1,1
"2024-10-04","Philippines","(not set)",1,1
"2024-10-05","Brazil","(not set)",125,76
"2024-10-05","United States","(not set)",24,17
"2024-10-05","Egypt","(not set)",2,1
"2024-10-05","Mexico","(not set)",2,2
"2024-10-05","Bangladesh","(not set)",1,1
"2024-10-05","Canada","(not set)",1,1
"2024-10-05","Colombia","(not set)",1,1
"2024-10-05","Nigeria","(not set)",1,1
"2024-10-06","Brazil","(not set)",199,67
"2024-10-06","United States","(not set)",22,14
"2024-10-06","Andorra","(not set)",1,1
"2024-10-06","Pakistan","(not set)",1,1
"2024-10-06","Saudi Arabia","(not set)",1,1
"2024-10-07","Brazil","(not set)",134,74
"2024-10-07","United States","(not set)",19,13
"2024-10-07","Mexico","(not set)",17,2
"2024-10-07","Algeria","(not set)",1,1
"2024-10-07","Portugal","(not set)",1,1
"2024-10-07","Yemen","(not set)",1,1
"2024-10-08","Brazil","(not set)",89,64
"2024-10-08","United States","(not set)",15,6
"2024-10-08","Mexico","(not set)",2,2
"2024-10-08","Iran","(not set)",1,1
"2024-10-08","Pakistan","(not set)",1,1
"2024-10-08","Vietnam","(not set)",1,1
"2024-10-09","Brazil","(not set)",134,78
"2024-10-09","United States","(not set)",9,7
"2024-10-09","Mexico","(not set)",2,2
"2024-10-09","Angola","(not set)",1,1
"2024-10-09","Argentina","(not set)",1,1
"2024-10-09","Iran","(not set)",1,1
"2024-10-09","Norway","(not set)",1,1
"2024-10-10","Brazil","(not set)",142,77
"2024-10-10","United States","(not set)",22,13
"2024-10-10","Indonesia","(not set)",18,1
"2024-10-11","Brazil","(not set)",135,67
"2024-10-11","United States","(not set)",8,8
"2024-10-11","Jamaica","(not set)",1,1
"2024-10-11","Mexico","(not set)",1,1
"2024-10-12","Brazil","(not set)",250,70
"2024-10-12","United States","(not set)",19,10
"2024-10-12","Mexico","(not set)",2,2
"2024-10-12","Iran","(not set)",1,1
"2024-10-12","Mozambique","(not set)",1,1
"2024-10-13","Brazil","(not set)",170,81
"2024-10-13","United States","(not set)",34,15
"2024-10-13","Pakistan","(not set)",2,1
"2024-10-13","Mexico","(not set)",1,1
"2024-10-14","Brazil","(not set)",145,87
"2024-10-14","United States","(not set)",11,7
"2024-10-14","Honduras","(not set)",1,1
"2024-10-14","Italy","(not set)",1,1
"2024-10-14","Japan","(not set)",1,1
"2024-10-14","Morocco","(not set)",1,1
"2024-10-14","Myanmar (Burma)","(not set)",1,1
"2024-10-14","Saudi Arabia","(not set)",1,1
"2024-10-14","Yemen","(not set)",1,1
"2024-10-15","Brazil","(not set)",119,69
"2024-10-15","United States","(not set)",17,13
"2024-10-15","Argentina","(not set)",2,1
"2024-10-15","Cuba","(not set)",1,1
"2024-10-15","Germany","(not set)",1,1
"2024-10-15","Mexico","(not set)",1,1
"2024-10-15","Qatar","(not set)",1,1
"2024-10-16","Brazil","(not set)",242,70
"2024-10-16","United States","(not set)",21,13
"2024-10-16","Cuba","(not set)",1,1
"2024-10-16","Indonesia","(not set)",1,1
"2024-10-17","Brazil","(not set)",92,54
"2024-10-17","United States","(not set)",9,8
"2024-10-17","Mexico","(not set)",2,2
"2024-10-17","Papua New Guinea","(not set)",2,1
"2024-10-17","Bangladesh","(not set)",1,1
"2024-10-18","Brazil","(not set)",87,70
"2024-10-18","United States","(not set)",9,9
"2024-10-18","Mexico","(not set)",2,2
"2024-10-18","Romania","(not set)",1,1
"2024-10-19","Brazil","(not set)",153,75
"2024-10-19","United States","(not set)",12,10
"2024-10-19","Afghanistan","(not set)",1,1
"2024-10-19","Egypt","(not set)",1,1
"2024-10-19","Zambia","(not set)",1,1
"2024-10-20","Brazil","(not set)",141,79
"2024-10-20","United States","(not set)",22,16
"2024-10-20","Mexico","(not set)",4,4
"2024-10-20","Bangladesh","(not set)",1,1
"2024-10-20","Cuba","(not set)",1,1
"2024-10-21","Brazil","(not set)",128,63
"2024-10-21","United States","(not set)",14,6
"2024-10-21","Mexico","(not set)",4,1
"2024-10-21","Italy","(not set)",2,1
"2024-10-21","Chile","(not set)",1,1
"2024-10-21","Thailand","(not set)",1,1
"2024-10-22","Brazil","(not set)",264,80
"2024-10-22","United States","(not set)",12,10
"2024-10-22","Canada","(not set)",1,1
"2024-10-22","Sudan","(not set)",1,1
"2024-10-22","Zambia","(not set)",1,1
"2024-10-23","Brazil","(not set)",155,65
"2024-10-23","United States","(not set)",23,18
"2024-10-23","Morocco","(not set)",2,1
"2024-10-23","Mexico","(not set)",1,1
"2024-10-24","Brazil","(not set)",116,68
"2024-10-24","United States","(not set)",33,15
"2024-10-24","Bangladesh","(not set)",1,1
"2024-10-24","Mexico","(not set)",1,1
"2024-10-25","Brazil","(not set)",119,63
"2024-10-25","United States","(not set)",14,11
"2024-10-25","Iran","(not set)",1,1
"2024-10-25","Mexico","(not set)",1,1
"2024-10-26","Brazil","(not set)",114,79
"2024-10-26","United States","(not set)",17,11
"2024-10-26","India","(not set)",2,2
"2024-10-26","Canada","(not set)",1,1
"2024-10-26","Mexico","(not set)",1,1
"2024-10-26","Peru","(not set)",1,1
"2024-10-27","Brazil","(not set)",129,75
"2024-10-27","United States","(not set)",12,10
"2024-10-27","Indonesia","(not set)",1,1
"2024-10-27","Iran","(not set)",1,1
"2024-10-27","Mexico","(not set)",1,1
"2024-10-28","Brazil","(not set)",146,77
"2024-10-28","United States","(not set)",16,8
"2024-10-28","Philippines","(not set)",3,1
"2024-10-28","Mexico","(not set)",2,2
"2024-10-28","United Arab Emirates","(not set)",1,1
"2024-10-29","Brazil","(not set)",162,73
"2024-10-29","United States","(not set)",12,9
"2024-10-29","Ethiopia","(not set)",2,2
"2024-10-29","India","(not set)",2,1
"2024-10-29","Argentina","(not set)",1,1
"2024-10-29","Egypt","(not set)",1,1
"2024-10-29","Morocco","(not set)",1,1
"2024-10-29","Nigeria","(not set)",1,1
"2024-10-29","United Kingdom","(not set)",1,1
"2024-10-29","Zambia","(not set)",1,1
"2024-10-30","Brazil","(not set)",519,79
"2024-10-30","United States","(not set)",22,20
"2024-10-30","Singapore","(not set)",2,1
"2024-10-30","Iran","(not set)",1,1
"2024-10-30","Japan","(not set)",1,1
"2024-10-30","Nigeria","(not set)",1,1
"2024-10-31","Brazil","(not set)",108,58
"2024-10-31","United States","(not set)",20,10
"2024-10-31","Mexico","(not set)",2,1
"2024-10-31","Philippines","(not set)",2,2
"2024-10-31","Canada","(not set)",1,1
"2024-10-31","Peru","(not set)",1,1
"2024-10-31","Zambia","(not set)",1,1
"2024-11-01","Brazil","(not set)",119,77
"2024-11-01","United States","(not set)",14,14
"2024-11-01","Bangladesh","(not set)",2,1
"2024-11-01","India","(not set)",2,1
"2024-11-01","Iran","(not set)",2,2
"2024-11-01","Mexico","(not set)",1,1
"2024-11-01","Nigeria","(not set)",1,1
"2024-11-01","United Kingdom","(not set)",1,1
"2024-11-02","Brazil","(not set)",149,76
"2024-11-02","United States","(not set)",12,11
"2024-11-02","Mexico","(not set)",3,3
"2024-11-02","Mozambique","(not set)",1,1
"2024-11-03","Brazil","(not set)",177,86
"2024-11-03","United States","(not set)",12,7
"2024-11-03","Angola","(not set)",2,1
"2024-11-03","Colombia","(not set)",1,1
"2024-11-03","Mozambique","(not set)",1,1
"2024-11-03","Netherlands","(not set)",1,1
"2024-11-04","Brazil","(not set)",152,81
"2024-11-04","United States","(not set)",14,11
"2024-11-04","Mexico","(not set)",6,4
"2024-11-04","Mozambique","(not set)",1,1
"2024-11-04","Pakistan","(not set)",1,1
"2024-11-05","Brazil","(not set)",141,78
"2024-11-05","United States","(not set)",13,7
"2024-11-05","Mexico","(not set)",4,3
"2024-11-05","Iran","(not set)",1,1
"2024-11-06","Brazil","(not set)",165,66
"2024-11-06","United States","(not set)",5,5
"2024-11-06","Mexico","(not set)",2,1
"2024-11-06","Australia","(not set)",1,1
"2024-11-06","Cuba","(not set)",1,1
"2024-11-06","Hungary","(not set)",1,1
"2024-11-06","Mozambique","(not set)",1,1
"2024-11-06","Romania","(not set)",1,1
"2024-11-07","Brazil","(not set)",99,55
"2024-11-07","United States","(not set)",18,8
"2024-11-07","Puerto Rico","(not set)",1,1
"2024-11-08","Brazil","(not set)",97,58
"2024-11-08","Thailand","(not set)",8,1
"2024-11-08","United States","(not set)",4,3
"2024-11-08","United Kingdom","(not set)",3,1
"2024-11-08","Bahamas","(not set)",1,1
"2024-11-08","Mexico","(not set)",1,1
"2024-11-09","Brazil","(not set)",92,58
"2024-11-09","United States","(not set)",29,14
"2024-11-09","Colombia","(not set)",1,1
"2024-11-09","Mexico","(not set)",1,1
"2024-11-09","Mozambique","(not set)",1,1
"2024-11-09","United Kingdom","(not set)",1,1
"2024-11-09","Yemen","(not set)",1,1
"2024-11-10","Brazil","(not set)",118,76
"2024-11-10","United States","(not set)",9,8
"2024-11-10","Mexico","(not set)",4,2
"2024-11-10","Italy","(not set)",2,1
"2024-11-10","Angola","(not set)",1,1
"2024-11-10","Philippines","(not set)",1,1
"2024-11-11","Brazil","(not set)",154,75
"2024-11-11","United States","(not set)",13,5
"2024-11-11","Algeria","(not set)",2,1
"2024-11-11","Angola","(not set)",1,1
"2024-11-11","Guyana","(not set)",1,1
"2024-11-11","Indonesia","(not set)",1,1
"2024-11-11","Mexico","(not set)",1,1
"2024-11-11","Zambia","(not set)",1,1
"2024-11-12","Brazil","(not set)",132,76
"2024-11-12","Iran","(not set)",13,2
"2024-11-12","United States","(not set)",8,8
"2024-11-12","Mexico","(not set)",3,2
"2024-11-12","India","(not set)",1,1
"2024-11-13","Brazil","(not set)",241,68
"2024-11-13","United States","(not set)",5,5
"2024-11-13","Mexico","(not set)",2,1
"2024-11-13","Iran","(not set)",1,1
"2024-11-13","United Kingdom","(not set)",1,1
"2024-11-14","Brazil","(not set)",147,53
"2024-11-14","United States","(not set)",12,11
"2024-11-14","Bangladesh","(not set)",1,1
"2024-11-14","Mexico","(not set)",1,1
"2024-11-15","Brazil","(not set)",150,69
"2024-11-15","United States","(not set)",22,15
"2024-11-15","Indonesia","(not set)",1,1
"2024-11-15","Mexico","(not set)",1,1
"2024-11-15","Nigeria","(not set)",1,1
"2024-11-16","Brazil","(not set)",110,66
"2024-11-16","United States","(not set)",6,6
"2024-11-16","Mexico","(not set)",3,3
"2024-11-16","Iran","(not set)",1,1
"2024-11-17","Brazil","(not set)",158,70
"2024-11-17","United States","(not set)",28,10
"2024-11-17","Qatar","(not set)",2,1
"2024-11-17","Cuba","(not set)",1,1
"2024-11-17","Mexico","(not set)",1,1
"2024-11-18","Brazil","(not set)",89,44
"2024-11-18","United States","(not set)",24,13
"2024-11-18","Iran","(not set)",1,1
"2024-11-18","Thailand","(not set)",1,1
"2024-11-19","Brazil","(not set)",154,75
"2024-11-19","United States","(not set)",26,13
"2024-11-19","Guatemala","(not set)",2,1
"2024-11-19","Iran","(not set)",2,2
"2024-11-19","Mexico","(not set)",1,1
"2024-11-19","Sri Lanka","(not set)",1,1
"2024-11-20","Brazil","(not set)",193,62
"2024-11-20","United States","(not set)",29,16
"2024-11-20","Mexico","(not set)",3,2
"2024-11-20","Bangladesh","(not set)",1,1
"2024-11-20","Cuba","(not set)",1,1
"2024-11-20","Hungary","(not set)",1,1
"2024-11-20","Malawi","(not set)",1,1
"2024-11-20","Sudan","(not set)",1,1
